post_id,title,body,image_link,link,creation_date,closed_date,closed_reason,score,tags,month,accepted_answer,analysis_result
79145758,Typescript Polymorphic Component Event Handler,"<p>I have written a strongly-typed Polymorphic Typescript React component that can accept any valid HTML tag. I followed this example here: https://www.tsteele.dev/posts/react-polymorphic-forwardref.</p>
<pre class=""lang-js prettyprint-override"">// polymorphic component with forwarded ref thanks to
// https://www.tsteele.dev/posts/react-polymorphic-forwardref
// https://gist.github.com/kripod/4434e7cecfdecee160026aee49ea6ee8

import React, {
  forwardRef,
  useCallback,
  type ComponentPropsWithRef,
  type ElementType,
  type JSX,
  type JSXElementConstructor,
  type Ref,
} from 'react';

type IntrinsicAttributes&lt;
  E extends keyof JSX.IntrinsicElements | JSXElementConstructor&lt;any&gt;,
&gt; = JSX.LibraryManagedAttributes&lt;E, ComponentPropsWithRef&lt;E&gt;&gt;;

export interface BoxOwnProps&lt;E extends ElementType = ElementType&gt; {
  as?: E;
}

export type BoxProps&lt;E extends ElementType&gt; = BoxOwnProps&lt;E&gt; &amp;
  Omit&lt;IntrinsicAttributes&lt;E&gt;, keyof BoxOwnProps&gt;;

export const Box = forwardRef(function Box(
  { as: Element = 'div', ...restProps }: BoxOwnProps,
  ref: Ref&lt;Element&gt;
) {
  const handleOnClick = useCallback((ev: HTMLElement) =&gt; {
    // 🚨 🚨  The type error is on the next line (see image)
    console.log(ev.currentTarget);
  }, []);

  return &lt;Element ref={ref} onClick={handleOnClick} {...restProps} /&gt;;
}) as &lt;E extends ElementType = 'div'&gt;(props: BoxProps&lt;E&gt;) =&gt; JSX.Element;</pre>
<p>For the handleOnClick callback, I assigned the event in the callback the HTMLElement type from @types/react-dom because it is the parent of all possible HTML dom elements and was generic enough to satisfy TypeScript.</p>
<p>But, I now specifically need access to the event.currentTarget property.</p>

<p>The only way I know of to make TypeScript aware of the currentTarget property is to change HTMLElement to a more specific type, like HTMLButtonElement. But that breaks polymorphism because the developer could pick a tag like ""a"" which means I would need to change the callback event type to HTMLAnchorElement</p>
<p>Is there a generic React Typescript type for HTMLElement that accepts a tag string? Like HTMLElement&lt;'button'&gt;. I'm just not aware of a generic type that can allow me to set the event conditionally based on an HTML tag name.</p>",https://i.sstatic.net/19LCKEF3.png,https://stackoverflow.com/questions/79145758/typescript-polymorphic-component-event-handler,2024-10-31 13:26:40,,Not specified,-1,"['reactjs', 'typescript']",October 2024,"{'answer_id': 79145983, 'body': ""<p>HTMLElement is the type of the dom element. You are using that type for a parameter of a callback for an event coming from the dom element. Those aren't the same thing.</p>\n<p>Try:</p>\n<pre>const handleOnClick = useCallback((ev: React.MouseEvent&lt;HTMLElement&gt;) =&gt; {\n  console.log(ev.currentTarget);\n}, []);</pre>"", 'score': 0, 'creation_date': '2024-10-31 14:45:44', 'last_activity_date': '2024-10-31 14:45:44'}",
79143869,Configuring LSP to recognize TailwindCSS @apply directives in Vue scoped SCSS with LazyVim,"<p>I'm using LazyVim in a Vue project. In &lt;style lang=""scss"" scoped&gt; blocks, I keep getting an ""Unknown at rule @apply"" error for TailwindCSS @apply directives.</p>
<p>LSP configs active in this buffer (I found this via the Lspinfo command): (vtsls, tailwindcss, volar)</p>
<p>I've tried setting css.lint.unknownAtRules = ""ignore"" but still seeing the issue. Is there a way to configure an LSP to recognize @apply in these scoped SCSS blocks?</p>
<p>Any help would be appreciated!</p>",https://i.sstatic.net/Da6EbJ24.png,https://stackoverflow.com/questions/79143869/configuring-lsp-to-recognize-tailwindcss-apply-directives-in-vue-scoped-scss-wi,2024-10-31 03:59:39,,Not specified,2,"['vue.js', 'tailwind-css', 'neovim', 'lazyvim']",October 2024,"{'answer_id': 79146455, 'body': '<p>I found the solution! Turns out I actually needed to update the volar LSP instead of cssls.</p>\n<pre class=""lang-lua prettyprint-override"">return {\n  {\n    ""neovim/nvim-lspconfig"",\n    opts = {\n      servers = {\n        volar = {\n          settings = {\n            css = {\n              validate = true,\n              lint = {\n                unknownAtRules = ""ignore"",\n              },\n            },\n            scss = {\n              validate = true,\n              lint = {\n                unknownAtRules = ""ignore"",\n              },\n            },\n            less = {\n              validate = true,\n              lint = {\n                unknownAtRules = ""ignore"",\n              },\n            },\n          },\n        },\n      },\n    },\n  },\n}</pre>', 'score': 1, 'creation_date': '2024-10-31 18:00:48', 'last_activity_date': '2024-10-31 18:00:48'}",
79139318,Why is Next.js throwing Error: WEBPACK_IMPORTED_MODULE is not a function?,"<p>I'm unable to figure out the problem. I'm exporting a function that serves the current authenticated user object (if present). I'm then using this user object to determine the addition of a nav link. This error won't go away no matter how much I've reformed the reference.</p>
<p>This is the function definition @/app/hooks/use-auth-user.ts</p>
<pre>'use client';
import {
    fetchAuthSession,
    fetchUserAttributes,
    getCurrentUser,
} from 'aws-amplify/auth';
import { useEffect, useState } from 'react';

export default function UseAuthUser() {
    const [user, setUser] = useState&lt;Record&lt;string, any&gt;&gt;();

useEffect(() =&gt; {
    async function getUser() {
        const session = await fetchAuthSession();
        if (!session.tokens) {
            return;
        }

        const user = {
            ...(await getCurrentUser()),
            ...(await fetchUserAttributes()),
            isAdmin: false,
        };

        const groups = session.tokens.accessToken.payload['cognito:groups'];
        // @ts-ignore
        user.isAdmin = Boolean(groups &amp;&amp; groups.includes('administrators'));
        setUser(user);
    }

    getUser();
}, []);

return user;
}</pre>
<p>And Here is the function that I'm referencing it from @/app/lib/menus.ts</p>
<pre>import UseAuthUser from '@/app/hooks/use-auth-user';

export function getResourceMenu(): Menu {
const user = UseAuthUser();
let links: Menu = [
    { name: 'Privacy Policy', href: '/privacy' },
    { name: 'Terms &amp; Conditions', href: '/terms-and-conditions' },
    { name: 'Member Portal', href: '/auth/login' },
];

if (user) {
    links.push({ name: 'Dashboard', href: '/dashboard' });
}

return links;
}</pre>
<p>I'm attaching a screenshot of the error here:</p>
<pre>Error: (0 , _app_hooks_use_auth_user__WEBPACK_IMPORTED_MODULE_0__.default) is not a function</pre>

<p>I'd love some input on where I'm going wrong here because obviously - I am.</p>",https://i.sstatic.net/VTAkvith.png,https://stackoverflow.com/questions/79139318/why-is-next-js-throwing-error-webpack-imported-module-is-not-a-function,2024-10-29 20:11:16,,Not specified,2,"['javascript', 'typescript', 'next.js', 'amazon-cognito']",October 2024,"{'answer_id': 79140436, 'body': ""<p>I tried to reproduce your issue and stumbled upon a different one. By resolving this one, I could run the code with no issues, which perhaps should solve your issue too.</p>\n\n<p>The issue here is that use-auth-user hook is marked as a client-only module using use client. Which means it can be used only within client components.</p>\n<p>However, the getResourceMenu() function in menus.ts is calling UseAuthUser() directly, which is being treated as a server code, causing a mismatch.</p>\n<p>I moved on and refactored the code to make it run successfully to resolve this particular issue and it seems to resolve yours one as well.</p>\n<p>Moving the logic to a client component</p>\n<p>Here, UseAuthUser is called in a client component and the result is handed over to getResourceMenu instead of a direct hook call inside of getResourceMenu function.</p>\n<pre>// src/components/MenuComponent.tsx\n'use client';  // Mark this as a client component\nimport React from 'react';\nimport UseAuthUser from '@/hooks/use-auth-user';\nimport { getResourceMenu } from '@/lib/menus';\n\nconst MenuComponent = () =&gt; {\n    const user = UseAuthUser();  // Fetch user on the client side\n    const links = getResourceMenu(user);  // Pass user data to getResourceMenu\n\n    return (\n        &lt;nav&gt;\n            {links.map((link, index) =&gt; (\n                &lt;a key={index} href={link.href}&gt;\n                    {link.name}\n                &lt;/a&gt;\n            ))}\n        &lt;/nav&gt;\n    );\n};\n\nexport default MenuComponent;</pre>\n<p>Changes to getResourceMenu</p>\n<p>Just accepting user as an input and apply conditional rendering</p>\n<pre>export function getResourceMenu(user: any) {\n    let links = [\n        { name: 'Privacy Policy', href: '/privacy' },\n        { name: 'Terms &amp; Conditions', href: '/terms-and-conditions' },\n    ];\n\n    if (user) {\n        links.push({ name: 'Dashboard', href: '/dashboard' });\n    }\n\n    return links;\n}</pre>"", 'score': 1, 'creation_date': '2024-10-30 05:22:36', 'last_activity_date': '2024-10-30 05:22:36'}",
79136659,VSCode move primary side bar to bottom (*not* the activity bar),"<p>In VSCode, I want to move the primary side bar to the bottom, so that it's easier to use VSCode in a profile-oriented monitor. Is this possible either in the settings or with an extension?</p>
<p>Note that I am not talking about the activity bar. I'm talking about the primary side bar, as described here:</p>
<blockquote>
<p>By default, the Primary Side Bar is located on the left of the workbench and shows views such as the Explorer, Search, and Source Control views</p>
</blockquote>

<p>I want to use a profile-oriented monitor, but having the sidebar on the side takes up ~1/3 of my screen. It'd be much more economical to have it on the bottom.</p>",https://i.sstatic.net/GZTRBlQE.png,https://stackoverflow.com/questions/79136659/vscode-move-primary-side-bar-to-bottom-not-the-activity-bar,2024-10-29 05:56:42,,Not specified,0,"['visual-studio-code', 'ide']",October 2024,"{'answer_id': 79140978, 'body': '<p>The Views in a View container (Explorer, Search, SCM, Debug, Panel,...) do not have a fixed position.</p>\n<p>As shown in the doc about Views you can move them (drag/drop) to a new position in the same View container. But you can also move them to a different View container (mentioned in a release note, I created a doc issue about this not being mentioned in the doc pages, answer: it will be done when the drag/drop is finalized).</p>\n<p>A possible new location is the Panel where you have the terminal. And from the Panel you can drag/drop a View to a different View Container in the Primary Side bar.</p>\n<p>Following a few links in the issue I found the new doc section about Drag/Drop Views in a doc page about Custom Layout.</p>\n<p>If you have no clue where the drop happened or you like to go back to the default positions you can use the command: View: Reset View Locations</p>', 'score': 2, 'creation_date': '2024-10-30 07:49:01', 'last_activity_date': '2024-10-30 07:49:01'}",
79130607,Why does the Bulma CSS framwork change the z-index on hover?,"<p>I am looking into rendering performance issues of my website and I have found that I get a lot of repaints while just moving the mouse pointer around.</p>
<p>Example: the HTML-Box below the input field and button get a repaint each time I move the mouse pointer (hovering only) between the input and the button in this page (from the official Bulma docs)</p>

<p>I am using the Bulma CSS framework with an ""add-on""-arrangement on some elements. A deeper analysis has show that such buttons and inputs have their z-index changed on hover. The relevant scss code in Bulma is this:</p>
<p>From tools.scss:</p>
<pre>.#{iv.$class-prefix}button,
  .#{iv.$class-prefix}input,
  .#{iv.$class-prefix}select select {
    &amp;:not([disabled]) {
      &amp;:hover,
      &amp;.#{iv.$class-prefix}is-hovered {
        z-index: 2;
      }

      &amp;:focus,
      &amp;.#{iv.$class-prefix}is-focused,
      &amp;:active,
      &amp;.#{iv.$class-prefix}is-active {
        z-index: 3;

        &amp;:hover {
          z-index: 4;
        }
      }
    }
  }</pre>
<p>What is the logic behind such a z-index change on hover?</p>
<p>It's causing a ton of repaints on my quite complex website. Do other CSS frameworks have a similar function? I am tempted to remove/neuter these z-index changes.</p>",https://i.sstatic.net/ykeZwCx0.png,https://stackoverflow.com/questions/79130607/why-does-the-bulma-css-framwork-change-the-z-index-on-hover,2024-10-27 08:45:42,,Not specified,0,"['css', 'performance', 'hover', 'bulma']",October 2024,"{'answer_id': 79137800, 'body': '<p>Without the z-index hack, part of the prefix button border (in focus) will be covered by the input field, which look like this:</p>', 'score': 1, 'creation_date': '2024-10-29 11:04:05', 'last_activity_date': '2024-10-29 11:04:05'}",
79130529,Adding a new package broke my Spring Boot Application,"<p>I'm getting troubles since I have added a new package in my spring boot application containing Mapstructs' mappers. Looks like the field:</p>
<pre>@Autowired    
private UtenteMapper utenteMapper;</pre>
<p>is not being populated in my Service component. The Spring boot main class, PaniECumpanagghiuApplicationConfiguration, is quite essential, (it contains only the @SpringBootApplicationAnnotation annotation), but I've tried previously to add a @ComponentScan.</p>
<pre>@SpringBootApplication    
@ComponentScan(""PaniECumpanagghiu.PaniECumpanagghiu.Mappers"")</pre>
<p>In this way the functionality is being recovered, but the @Controller is not fired (when I invoke my API the server retrieves 404). I tried also to add all the packages into the annotation @ComponentScan, like this</p>
<p>@ComponentScan(""PaniECumpanagghiu.PaniECumpanagghiu.Mappers"",""PaniECumpanagghiu.PaniECumpanagghiu.controller"",...)</p>
<p>In this way neither the former object, UtenteMapper, is populated anymore (same behavior than the case without @ComponentScan annotation).</p>
<p>If I comment all references to the new package, and I simplify the API in order to return only a String (""Ciao""), the controller is fired. This is my tree directory</p>

<p>I have described everything in the previous section.</p>
<p>EDIT 1 Hey guys i have the impression that the problem is in the mapstruct dependence importing. So I decided to give you the whole pom.</p>
<pre>&lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
&lt;project xmlns=""https://maven.apache.org/POM/4.0.0"" xmlns:xsi=""https://www.w3.org/2001/XMLSchema-instance""
    xsi:schemaLocation=""https://maven.apache.org/POM/4.0.0 https://maven.apache.org/xsd/maven-4.0.0.xsd""&gt;
    &lt;modelVersion&gt;4.0.0&lt;/modelVersion&gt;
    &lt;parent&gt;
        &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
        &lt;artifactId&gt;spring-boot-starter-parent&lt;/artifactId&gt;
        &lt;version&gt;3.3.2-SNAPSHOT&lt;/version&gt;
        &lt;relativePath/&gt; &lt;!-- lookup parent from repository --&gt;
    &lt;/parent&gt;
    &lt;groupId&gt;PaniECumpanagghiu&lt;/groupId&gt;
    &lt;artifactId&gt;PaniECumpanagghiu&lt;/artifactId&gt;
    &lt;version&gt;0.0.1-SNAPSHOT&lt;/version&gt;
    &lt;packaging&gt;war&lt;/packaging&gt;
    &lt;name&gt;PaniECumpanagghiu&lt;/name&gt;
    &lt;description&gt;Web app di food delivery per la sicilia sud orientale&lt;/description&gt;
    &lt;url/&gt;
    &lt;licenses&gt;
        &lt;license/&gt;
    &lt;/licenses&gt;
    &lt;developers&gt;
        &lt;developer/&gt;
    &lt;/developers&gt;
    &lt;scm&gt;
        &lt;connection/&gt;
        &lt;developerConnection/&gt;
        &lt;tag/&gt;
        &lt;url/&gt;
    &lt;/scm&gt;
    &lt;properties&gt;
        &lt;java.version&gt;22&lt;/java.version&gt;
        &lt;org.mapstruct.version&gt;1.6.2&lt;/org.mapstruct.version&gt;
    &lt;/properties&gt;
    &lt;dependencies&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
            &lt;artifactId&gt;spring-boot-starter-data-jpa&lt;/artifactId&gt;
        &lt;/dependency&gt;
&lt;!--        &lt;dependency&gt;
            &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
            &lt;artifactId&gt;spring-boot-starter-security&lt;/artifactId&gt;
        &lt;/dependency&gt;--&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
            &lt;artifactId&gt;spring-boot-starter-web&lt;/artifactId&gt;
        &lt;/dependency&gt;

        &lt;dependency&gt;
            &lt;groupId&gt;com.mysql&lt;/groupId&gt;
            &lt;artifactId&gt;mysql-connector-j&lt;/artifactId&gt;
            &lt;scope&gt;runtime&lt;/scope&gt;
        &lt;/dependency&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;org.projectlombok&lt;/groupId&gt;
            &lt;artifactId&gt;lombok&lt;/artifactId&gt;
            &lt;optional&gt;true&lt;/optional&gt;
        &lt;/dependency&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
            &lt;artifactId&gt;spring-boot-starter-tomcat&lt;/artifactId&gt;
            &lt;scope&gt;provided&lt;/scope&gt;
        &lt;/dependency&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
            &lt;artifactId&gt;spring-boot-starter-test&lt;/artifactId&gt;
            &lt;scope&gt;test&lt;/scope&gt;
        &lt;/dependency&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;org.springframework.security&lt;/groupId&gt;
            &lt;artifactId&gt;spring-security-test&lt;/artifactId&gt;
            &lt;scope&gt;test&lt;/scope&gt;
        &lt;/dependency&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;org.mapstruct&lt;/groupId&gt;
            &lt;artifactId&gt;mapstruct&lt;/artifactId&gt;
            &lt;version&gt;${org.mapstruct.version}&lt;/version&gt;
        &lt;/dependency&gt;
    &lt;/dependencies&gt;

    &lt;build&gt;
        &lt;plugins&gt;
            &lt;plugin&gt;
                &lt;groupId&gt;org.springframework.boot&lt;/groupId&gt;
                &lt;artifactId&gt;spring-boot-maven-plugin&lt;/artifactId&gt;
                &lt;configuration&gt;
                    &lt;excludes&gt;
                        &lt;exclude&gt;
                            &lt;groupId&gt;org.projectlombok&lt;/groupId&gt;
                            &lt;artifactId&gt;lombok&lt;/artifactId&gt;
                        &lt;/exclude&gt;
                    &lt;/excludes&gt;
                &lt;/configuration&gt;
            &lt;/plugin&gt;
            &lt;plugin&gt;
                &lt;groupId&gt;org.apache.maven.plugins&lt;/groupId&gt;
                &lt;artifactId&gt;maven-compiler-plugin&lt;/artifactId&gt;
                &lt;configuration&gt;
                    &lt;source&gt;1.8&lt;/source&gt; &lt;!-- depending on your project --&gt;
                    &lt;target&gt;1.8&lt;/target&gt; &lt;!-- depending on your project --&gt;
                    &lt;annotationProcessorPaths&gt;
                        &lt;path&gt;
                            &lt;groupId&gt;org.mapstruct&lt;/groupId&gt;
                            &lt;artifactId&gt;mapstruct-processor&lt;/artifactId&gt;
                            &lt;version&gt;${org.mapstruct.version}&lt;/version&gt;
                        &lt;/path&gt;
                        &lt;!-- other annotation processors --&gt;
                    &lt;/annotationProcessorPaths&gt;
                &lt;/configuration&gt;
            &lt;/plugin&gt;
        &lt;/plugins&gt;
    &lt;/build&gt;
    &lt;repositories&gt;
        &lt;repository&gt;
            &lt;id&gt;spring-snapshots&lt;/id&gt;
            &lt;name&gt;Spring Snapshots&lt;/name&gt;
            &lt;url&gt;https://repo.spring.io/snapshot&lt;/url&gt;
            &lt;releases&gt;
                &lt;enabled&gt;false&lt;/enabled&gt;
            &lt;/releases&gt;
        &lt;/repository&gt;
    &lt;/repositories&gt;
    &lt;pluginRepositories&gt;
        &lt;pluginRepository&gt;
            &lt;id&gt;spring-snapshots&lt;/id&gt;
            &lt;name&gt;Spring Snapshots&lt;/name&gt;
            &lt;url&gt;https://repo.spring.io/snapshot&lt;/url&gt;
            &lt;releases&gt;
                &lt;enabled&gt;false&lt;/enabled&gt;
            &lt;/releases&gt;
        &lt;/pluginRepository&gt;
    &lt;/pluginRepositories&gt;

&lt;/project&gt;</pre>",https://i.sstatic.net/jym6aACF.png,https://stackoverflow.com/questions/79130529/adding-a-new-package-broke-my-spring-boot-application,2024-10-27 08:00:41,,Not specified,-1,"['java', 'spring', 'spring-boot', 'mapstruct']",October 2024,"{'answer_id': 79131501, 'body': '<p>Because you are telling that perhaps the issue is connected to the interaction of Lombok and Mapstruct, perhaps (the pom.xml file says other annotation processors and I don\'t know if there are really others), you have to include both annotation processors in the maven-compiler-plugin, like this:</p>\n<pre>&lt;plugin&gt;\n    &lt;groupId&gt;org.apache.maven.plugins&lt;/groupId&gt;\n    &lt;artifactId&gt;maven-compiler-plugin&lt;/artifactId&gt;\n    &lt;configuration&gt;\n      &lt;annotationProcessorPaths&gt;\n        &lt;path&gt;\n          &lt;groupId&gt;org.projectlombok&lt;/groupId&gt;\n          &lt;artifactId&gt;lombok&lt;/artifactId&gt;\n          &lt;version&gt;${lombok.version}&lt;/version&gt;\n        &lt;/path&gt;\n        &lt;path&gt;\n          &lt;groupId&gt;org.mapstruct&lt;/groupId&gt;\n          &lt;artifactId&gt;mapstruct-processor&lt;/artifactId&gt;\n          &lt;version&gt;${org.mapstruct.version}&lt;/version&gt;\n        &lt;/path&gt;\n      &lt;/annotationProcessorPaths&gt;\n    &lt;/configuration&gt;\n  &lt;/plugin&gt;</pre>\n<p>Moreover: check if UtenteMapper is annotated with componentModel = ""spring"", like this:</p>\n<pre>@Mapper(componentModel = ""spring"")\npublic interface UtenteMapper {</pre>\n<p>Without that attribute set (read the javadoc) the generated mapper can\'t be managed as a Spring bean and won\'t be injected with @Autowired.</p>\n<p>As a side note, just for conventions\' sake: please use lower case starting packages, I suppose Eclipse is telling this already as a warning when creating classes and other packages.</p>', 'score': 1, 'creation_date': '2024-10-27 17:06:16', 'last_activity_date': '2024-10-27 19:48:41'}",
79130057,JUnit4 code coverage issue with Exception expected,"<p>I have the following sample class in Java:</p>
<pre>package main;

public class SampleClass {
    private String id;

    public SampleClass(String id) throws IllegalArgumentException {
        validation(id);
        this.id = id;
    }

    public void validation(String inputId) throws IllegalArgumentException {
        if (inputId.length() != 6) {
            throw new IllegalArgumentException(""Invalid length"");
        }
    }
}</pre>
<p>And now, I'm trying to test the code with JUnit4 tests like the following:</p>
<pre>package main;

import org.junit.rules.ExpectedException;

public class Test {

    @org.junit.Rule
    public ExpectedException thrown = ExpectedException.none();

    @org.junit.Test
    public void normalTest() {
        SampleClass sample = new SampleClass(""123456"");
    }

    @org.junit.Test(expected = IllegalArgumentException.class)
    public void lengthTestOriginal() {
        SampleClass sample = new SampleClass(""1234567"");
    }

    @org.junit.Test
    public void lengthTestVersion1() {
        thrown.expect(IllegalArgumentException.class);
        thrown.expectMessage(""Invalid length"");
        SampleClass sample = new SampleClass(""12345"");
    }

    @org.junit.Test
    public void lengthTestVersion2() {
        try {
            SampleClass puerto2 = new SampleClass(""1234567"");
        } catch (IllegalArgumentException e) {
            org.junit.Assert.assertEquals(""Invalid length"", e.getMessage());
        }
    }
}</pre>
<p>However, when I run the JUnit tests with coverage, the SampleClass() instantiations that must throw an exception seem to not being covered, as shown in the image:</p>
<p>I know the tool may not be able to detect such code as covered, as discussed here, however, is the any way to write the tests so that they show as covered? As you can see I tried several alternative ways to perform the same test, all of them failing to be covered in the same instantiation line.</p>",https://i.sstatic.net/OlJSI9r1.png,https://stackoverflow.com/questions/79130057/junit4-code-coverage-issue-with-exception-expected,2024-10-27 02:57:28,,Not specified,0,"['java', 'eclipse', 'unit-testing', 'testing', 'junit']",October 2024,"{'answer_id': 79131632, 'body': ""<p>You show the coverage of the test class, not the coverage of the class under test, which is 100%. If you want your test case classes to have 100% coverage, you must write test cases for your test cases, and there's no end to that. But be my guest ;)</p>"", 'score': 1, 'creation_date': '2024-10-27 18:37:38', 'last_activity_date': '2024-10-27 18:37:38'}",
79127946,&quot;Object reference not set to an instance of an object&quot; after calling New,"<pre>Public Class Form1
    Dim Form2 As Form2
    Private Sub Form1_Load(sender As Object, e As EventArgs) Handles MyBase.Load
        With Me.Form2
            Me.Form2 = New Form2(""Some name"")
            .TopLevel = False
        End With
    End Sub
End Class</pre>
<pre>Public Class Form2
    Public Property AAAName As String
    Sub New(NameInput As String)
        Me.AAAName = NameInput
        InitializeComponent()
    End Sub
    Private Sub Form2_Load(sender As Object, e As EventArgs) Handles MyBase.Load

    End Sub
End Class</pre>
<p>When I run the code (Starts with Form1), I get error:</p>
<blockquote>
<p>Object reference not set to an instance of an object</p>
</blockquote>",https://i.sstatic.net/KWgiM4Gy.png,https://stackoverflow.com/questions/79127946/object-reference-not-set-to-an-instance-of-an-object-after-calling-new,2024-10-26 02:33:03,,Not specified,0,"['vb.net', 'winforms']",October 2024,"{'answer_id': 79127967, 'body': '<p>Try initialize Form2 before the With block like this:</p>\n<pre>Public Class Form1\nDim Form2 As Form2\n\nPrivate Sub Form1_Load(sender As Object, e As EventArgs) Handles MyBase.Load\n    Me.Form2 = New Form2(""Form name"")\n\n    With Me.Form2\n        .TopLevel = False\n    End With\n\n    Me.Controls.Add(Form2)\n    Form2.Show()\n  End Sub\nEnd Class\n\nPublic Class Form2\nPublic Property AAAName As String\n\nSub New(NameInput As String)\n    Me.AAAName = NameInput\n    InitializeComponent()\nEnd Sub\n\nPrivate Sub Form2_Load(sender As Object, e As EventArgs) Handles MyBase.Load\n\n  End Sub\nEnd Class</pre>', 'score': 2, 'creation_date': '2024-10-26 02:51:21', 'last_activity_date': '2024-10-26 02:51:21'}",
79126749,How to change &quot;Recommended environment&quot; in Visual Studio Code,"<p>In Visual Studio Code, whenever I'm prompted to choose an environment, there is a ""recommended"" one or ""favourite"" one. But it's not the one I would like to see there (I would like another virtual environment* to get there).</p>
<p>E.g.:</p>
<p>I've looked everywhere. How can I change this and select which one should be ""recommended""?</p>
<p>* added virtual environment to this sentence because apparently someone said it's bad to recommend a non-virtual-environment</p>",https://i.sstatic.net/82mWjPWT.png,https://stackoverflow.com/questions/79126749/how-to-change-recommended-environment-in-visual-studio-code,2024-10-25 13:28:03,,Not specified,0,"['python', 'visual-studio-code', 'virtualenv']",October 2024,"{'answer_id': 79144420, 'body': '<p>There are (at least) two things to change to have a menu like this:</p>\n\n<ol>\n<li>activate your virtualenv first, and then launch <code>code</code> from the same shell.</li>\n</ol>\n<pre class=""lang-bash prettyprint-override"">source ./venv/bin/activate\n    code .</pre>\n<ol start=""2"">\n<li>Preferences-&gt;Extensions-&gt;Python:</li>\n</ol>\n<pre class=""lang-json prettyprint-override"">""python.defaultInterpreterPath"": ""/usr/bin/python""</pre>', 'score': 2, 'creation_date': '2024-10-31 06:50:09', 'last_activity_date': '2024-10-31 06:50:09'}",
79125244,Angular not calling the detectChanges() method on button click (change detection),"<p>I have added a breakpoint in the angular source code on the detectChanges() method:</p>

<p>I noticed that when I click on the button from the component below, the breakpoint is not hit.</p>
<pre>import { Component, DoCheck } from '@angular/core';

@Component({
  selector: 'app-some',
  standalone: true,
  imports: [],
  template: `
    &lt;button (click)=""onClick()""&gt;click me&lt;/button&gt;
    &lt;h3&gt;{{ someValue }}&lt;/h3&gt;  `,
  styleUrl: './some.component.scss'
})
export class SomeComponent implements DoCheck {

  ngDoCheck(): void {
    console.log('ngDoCheck');
  }

  someValue = 'initial value';

  onClick() {
    console.log('onClick');
    this.someValue = 'other';
  }

}</pre>
<p>The tick method is indeed called though.</p>
<p>Can someone please explain in the context of angular change detection why the detectChanges() method is not called?</p>",https://i.sstatic.net/EDCrYsvZ.png,https://stackoverflow.com/questions/79125244/angular-not-calling-the-detectchanges-method-on-button-click-change-detection,2024-10-25 06:19:18,,Not specified,1,"['angular', 'angular-changedetection']",October 2024,"{'answer_id': 79125263, 'body': '<p>I think detectChanges is for manually trigger the change detection, like when you use OnPush detection, you have other methods to do similar like markForCheck. Angular might be using the latter for this or some internal method to trigger change detection.</p>\n<p>The console.log on the ngDoCheck event hook which fires when change detection runs. This is the best reference to check when change detection runs.</p>\n<h4><a href=""https://stackoverflow.com/questions/79124664/why-property-a-is-called-when-ngmodel-is-used-but-not-linked-to-that-property-a""> Similar Question with stackblitz demo - Why property A is called when ngModel is used but not linked to that property A?</a></h4>', 'score': 1, 'creation_date': '2024-10-25 06:22:12', 'last_activity_date': '2024-10-25 06:22:12'}",
